input,target,gpt_prediction,mixed_model_prediction,gpt_smooth_bleu_score,mixed_model_smooth_bleu_score,,,,,,,,,,
"summarize: def create_notebook_checkpoint(self, nb, path):
        """"""
        """"""
        b64_content = writes_base64(nb)
        with self.engine.begin() as db:
            return save_remote_checkpoint(
                db,
                self.user_id,
                path,
                b64_content,
                self.crypto.encrypt,
                self.max_file_size_bytes,
            )",Create a checkpoint of the current state of a notebook,Create a new ID of the last notebook checkpoint,Returns the notebook object of the notebook.,62.35128364,36.06131508,49.20629936,,,,,,,,,
"summarize: def _should_catch_error(self, error, errors=()):
        """"""
        
        """"""

        caught_errors = (
            errors or
            self.session.driver.invalid_element_errors + (ElementNotFound,))

        return isinstance(error, caught_errors)",Returns whether to catch the given error.,Returns an error message with the given error.,Change a catch an error if there is an error.,57.60322765,40.74548012,49.17435389,,,,,,,,,
"summarize: def get_file_lines(file_name):
    """"""""""""
    file_path = path.join(path.dirname(path.abspath(__file__)), file_name)
    with open(file_path) as file_obj:
        return [line for line in file_obj.read().splitlines() if line]",Return a list of non-empty lines from `file_path`.,Return a list of files files from files,Return a list of files in the file path.,50.43474825,47.66835471,49.05155148,,,,,,,,,
"summarize: def get_evaluations(self, variant_obj):
        """"""
        """"""
        query = dict(variant_id=variant_obj['variant_id'])
        res = self.acmg_collection.find(query).sort([('created_at', pymongo.DESCENDING)])
        return res",Return all evaluations for a certain variant.,Get evaluations from the Given variant.,Return a list of active evaluations.,52.29780078,45.63040026,48.96410052,,,,,,,,,
"summarize: def get_bound_method(self, instruction):
        """"""""""""
        try:
            return self._bound_instructions[type(instruction)]
        except KeyError:
            raise PulseError('Qobj conversion method for %s is not found.' % instruction)",Get conversion method for instruction.,return instruction Get the bound method for the given instruction.,Returns a bound instruction method.,43.1292181,54.63503973,48.88212892,,,,,,,,,
"summarize: def __early_downsample_count(nyquist, filter_cutoff, hop_length, n_octaves):
    ''''''

    downsample_count1 = max(0, int(np.ceil(np.log2(audio.BW_FASTEST * nyquist /
                                                   filter_cutoff)) - 1) - 1)

    num_twos = __num_two_factors(hop_length)
    downsample_count2 = max(0, num_twos - n_octaves + 1)

    return min(downsample_count1, downsample_count2)",Compute the number of early downsampling operations,"r""""""Compute the early one early count number of early one early samples",Early additional downsample number of filtering the filtering.,45.9491546,51.66027581,48.80471521,,,,,,,,,
"summarize: def push_zipkin_attrs(zipkin_attr):
    """"""
    """"""
    from py_zipkin.storage import ThreadLocalStack
    log.warning('push_zipkin_attrs is deprecated. See DEPRECATIONS.rst for'
                'details on how to migrate to using Tracer.')
    return ThreadLocalStack().push(zipkin_attr)",Stores the zipkin attributes to thread local.,Pushes the zipkin attributes to the zipkin attribute,Gets a zipkin attribute of the zipkin attribute from Zipkin.,58.62219266,38.8181875,48.72019008,,,,,,,,,
"summarize: def copy_endpoint_with_new_service_name(endpoint, new_service_name):
    """"""
    """"""
    return Endpoint(
        service_name=new_service_name,
        ipv4=endpoint.ipv4,
        ipv6=endpoint.ipv6,
        port=endpoint.port,
    )",Creates a copy of a given endpoint with a new service name.,Copy a new service name for an endpoint.,Copy an endpoint service name to the current service.,48.38177686,48.70511149,48.54344418,,,,,,,,,
"summarize: def get_feature_data(self, ids=None, features=None, dense=True):
        """""" 
        """"""
        result = self.data

        if ids is not None:
            result = result.ix[ids]

        if features is not None:
            result = result.ix[:, features]

        return result.to_dense() if dense else result",Slices and returns a subset of feature data.,.to_dense() Returns a data feature data,.data[ids] Returns a feature data from the data.,49.22362045,47.48376043,48.35369044,,,,,,,,,
"summarize: def add_comment(self, comment_text):
        '''
        
        '''
        return self.fetch_json(
            uri_path=self.base_uri + '/actions/comments',
            http_method='POST',
            query_params={'text': comment_text}
        )",Adds a comment to this card by the current user.,Add a comment to the url for the specified comment.,Add a comment to the action and return the comment.,47.59625465,48.99469506,48.29547486,,,,,,,,,
"summarize: def decorated_with_property(node: astroid.FunctionDef) -> bool:
    """"""  """"""
    if not node.decorators:
        return False
    for decorator in node.decorators.nodes:
        if not isinstance(decorator, astroid.Name):
            continue
        try:
            if _is_property_decorator(decorator):
                return True
        except astroid.InferenceError:
            pass
    return False",Detect if the given function node is decorated with a property.,Decorator to decorate a property on the given node.,Decorator whether a property is the decorator is a generator.,53.38725162,43.07307353,48.23016258,,,,,,,,,
"summarize: def get_deployments(self, prefix=""""):
        """""" 
        """"""
        params = {""prefix"": prefix}
        return self.request(params=params, method=""get"").json()",This endpoint lists all deployments.,Get a list of deployments from the current prefix.,Returns a list of all deployments.,35.95768288,60.38661802,48.17215045,,,,,,,,,
"summarize: def has_title(self, title, **kwargs):
        """"""
        
        """"""

        try:
            self.assert_title(title, **kwargs)
            return True
        except ExpectationNotMet:
            return False",Checks if the page has the given title.,Checks a title for the given title.,Get the title of the title.,60.60835323,34.73752704,47.67294014,,,,,,,,,
"summarize: def attachments(self, *bug_ids):
        """"""
        """"""
        resource = urijoin(self.RBUG, bug_ids[0], self.RATTACHMENT)

        params = {
            self.PIDS: bug_ids,
            self.PEXCLUDE_FIELDS: self.VEXCLUDE_ATTCH_DATA
        }

        response = self.call(resource, params)

        return response",Get the attachments of the given bugs.,Adds the attachments to the AMENT IDs.,Attachments the ASTATED_ATTACHMENT of a given `OsidS`.,55.10042139,40.20709885,47.65376012,,,,,,,,,
"summarize: def create(env_dir, system_site_packages=False, clear=False,
                    symlinks=False, with_pip=False, prompt=None):
    """"""""""""
    builder = ExtendedEnvBuilder(system_site_packages=system_site_packages,
                                 clear=clear, symlinks=symlinks, with_pip=with_pip,
                                 prompt=prompt)
    builder.create(env_dir)
    return builder.context",Create a virtual environment in a directory.,(builder) Create a Generator on a new environment.,"(env_dir, clear) Create an environment.",47.93579222,47.29450246,47.61514734,,,,,,,,,
"summarize: def find_profile_dir_by_name(cls, ipython_dir, name=u'default', config=None):
        """"""
        """"""
        dirname = u'profile_' + name
        paths = [os.getcwdu(), ipython_dir]
        for p in paths:
            profile_dir = os.path.join(p, dirname)
            if os.path.isdir(profile_dir):
                return cls(location=profile_dir, config=config)
        else:
            raise ProfileDirError('Profile directory not found in paths: %s' % dirname)","Find an existing profile dir by profile name, return its ProfileDir.",Get a directory profile directory and return a list of directory profiles,"return None Find a profiledir, using the profiledir to the profiledir.",43.51977048,51.67806394,47.59891721,,,,,,,,,
"summarize: def pull_commits(self, pr_number):
        """"""""""""

        payload = {
            'per_page': PER_PAGE,
        }

        commit_url = urijoin(""pulls"", str(pr_number), ""commits"")
        return self.fetch_items(commit_url, payload)",Get pull request commits,Pull commits in the page,Returns the pull commits.,43.3137163,51.78902283,47.55136957,,,,,,,,,
